,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
238,Jaws,1975,8.0,87.0,546823,260.0,124
239,Ferris Bueller's Day Off,1986,7.8,61.0,324008,70.14,103
240,Home Alone,1990,7.6,63.0,493135,285.76,103
241,The Bridge on the River Kwai,1957,8.1,87.0,205391,44.91,161
242,The Third Man,1949,8.1,97.0,160277,0.45,93
243,The Peanut Butter Falcon,2019,7.6,70.0,69279,13.12,97
244,Shrek,2001,7.8,84.0,619003,267.67,90
245,L.A. Confidential,1997,8.2,90.0,536964,64.62,138
246,The Godfather: Part III,1990,7.6,60.0,364324,66.67,162
247,Sense and Sensibility,1995,7.6,84.0,103876,43.18,136
248,The Bourne Identity,2002,7.9,68.0,512472,121.66,119
249,Inside Out,2015,8.1,94.0,626251,356.46,95
250,12 Years a Slave,2013,8.1,96.0,647704,56.67,134
251,Edge of Tomorrow,2014,7.9,71.0,606008,100.21,113
252,Unforgiven,1992,8.2,85.0,379762,101.16,130
253,Casablanca,1942,8.5,100.0,527270,1.02,102
254,The Sixth Sense,1999,8.1,64.0,918609,293.51,107
255,Pan's Labyrinth,2006,8.2,98.0,623936,37.63,118
256,Dallas Buyers Club,2013,8.0,80.0,447229,27.3,117
257,Mulan,1998,7.6,71.0,259851,120.62,88
258,Star Trek,2009,7.9,82.0,579597,257.73,127
259,E.T. the Extra-Terrestrial,1982,7.8,91.0,375803,435.11,115
260,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,866974,936.66,138
261,Rain Man,1988,8.0,65.0,477273,178.8,133
262,Serenity,2005,7.8,74.0,284652,25.51,119
263,Bonnie and Clyde,1967,7.8,86.0,103428,,111
264,Office Space,1999,7.7,68.0,244114,10.82,89
265,Marriage Story,2019,7.9,94.0,254154,2.0,137
266,Little Miss Sunshine,2006,7.8,80.0,443552,59.89,101
267,American Gangster,2007,7.8,76.0,396265,130.16,157
268,Warrior,2011,8.2,71.0,439869,13.66,140
269,Shaun of the Dead,2004,7.9,76.0,516215,13.54,99
270,Capernaum,2018,8.4,75.0,66337,1.66,126
271,Toy Story 4,2019,7.8,84.0,208712,434.04,100
272,The Thing,1982,8.1,57.0,375354,13.78,109
273,A Few Good Men,1992,7.7,62.0,237911,141.34,138
274,Lost in Translation,2003,7.7,89.0,419826,44.59,102
275,Big Hero 6,2014,7.8,74.0,415245,222.53,102
276,Ocean's Eleven,2001,7.7,74.0,521571,183.42,116
277,Papillon,1973,8.0,58.0,122612,53.27,151
278,What's Eating Gilbert Grape,1993,7.8,73.0,217391,9.17,118
279,Black Hawk Down,2001,7.7,74.0,366958,108.64,144
280,"Monsters, Inc.",2001,8.1,79.0,824262,289.92,92
281,The Deer Hunter,1978,8.1,86.0,314626,48.98,183
282,The Sandlot,1993,7.8,55.0,79773,32.42,101
283,28 Days Later...,2002,7.6,73.0,379603,45.06,113
284,Once Upon a Time in the West,1968,8.5,80.0,305812,5.32,165
285,The Pursuit of Happyness,2006,8.0,64.0,454431,163.57,117
286,The Exorcist,1973,8.0,81.0,364612,232.91,122
287,The Curious Case of Benjamin Button,2008,7.8,70.0,595418,127.51,166
288,Memories of Murder,2003,8.1,82.0,144053,0.01,132
289,Lion,2016,8.0,69.0,217062,51.74,118
290,Gone with the Wind,1939,8.1,97.0,292733,198.68,238
291,My Fair Lady,1964,7.8,95.0,87429,72.0,170
292,Blazing Saddles,1974,7.7,73.0,127147,119.5,93
293,Blue Is the Warmest Colour,2013,7.7,89.0,140194,2.2,180
294,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1170891,290.48,124
295,Charade,1963,7.9,83.0,69831,13.47,113
296,Manchester by the Sea,2016,7.8,96.0,251034,47.7,137
297,Midnight Cowboy,1969,7.8,79.0,102107,44.79,113
298,Road to Perdition,2002,7.7,72.0,249033,104.45,117
299,Apollo 13,1995,7.6,77.0,272334,173.84,140
300,Moonrise Kingdom,2012,7.8,84.0,322257,45.51,94
301,First Blood,1982,7.7,61.0,228917,47.21,93
302,Kill Bill: Vol. 2,2004,8.0,83.0,690411,66.21,137
303,What We Do in the Shadows,2014,7.7,76.0,159845,3.33,86
304,Taken,2008,7.8,51.0,567915,145.0,90
305,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,585813,42.34,119
306,Breakfast at Tiffany's,1961,7.6,76.0,168282,,115
307,Back to the Future Part II,1989,7.8,57.0,486447,118.5,108
308,Children of Men,2006,7.9,84.0,468331,35.55,109
309,The Game,1997,7.8,61.0,349097,48.32,129
310,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,959631,309.13,131
311,Come and See,1985,8.3,,61148,,142
312,Crash,2004,7.7,66.0,421659,54.58,112
313,Finding Nemo,2003,8.1,90.0,958316,380.84,100
314,The Lives of Others,2006,8.4,89.0,362760,11.29,137
315,Mystic River,2003,7.9,84.0,422829,90.14,138
316,The Blind Side,2009,7.6,53.0,296401,255.96,129
317,Skyfall,2012,7.8,81.0,634019,304.36,143
318,Up,2009,8.2,88.0,946011,293.0,96
319,Amadeus,1984,8.3,88.0,372464,51.97,160
320,Seven Samurai,1954,8.6,98.0,319146,0.27,207
321,Being There,1979,8.0,83.0,66321,30.18,130
322,Rebel Without a Cause,1955,7.7,89.0,84275,,111
323,Big Fish,2003,8.0,58.0,417985,66.26,125
324,Incendies,2010,8.3,80.0,153207,6.86,131
325,The Machinist,2004,7.7,61.0,361600,1.08,101
326,Airplane!,1980,7.7,78.0,217029,83.4,88
327,Amélie,2001,8.3,69.0,709583,33.23,122
328,Just Mercy,2019,7.6,68.0,49570,,137
329,Scent of a Woman,1992,8.0,59.0,267787,63.9,156
330,The Last of the Mohicans,1992,7.7,76.0,152674,75.51,112
331,Princess Mononoke,1997,8.4,76.0,348785,2.38,134
332,Indiana Jones and the Last Crusade,1989,8.2,65.0,697867,197.17,127
333,WALL·E,2008,8.4,95.0,1011100,223.81,98
334,Downfall,2004,8.2,82.0,334201,5.51,156
335,Gone Baby Gone,2007,7.6,72.0,252829,20.3,114
336,The Count of Monte Cristo,2002,7.8,61.0,129951,54.23,131
337,Incredibles 2,2018,7.6,80.0,254835,608.58,118
338,Monty Python's Life of Brian,1979,8.1,77.0,370750,20.05,94
339,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,454705,0.28,95
340,In the Mood for Love,2000,8.1,85.0,127443,2.73,98
341,Magnolia,1999,8.0,77.0,291792,22.46,188
342,The Boy in the Striped Pajamas,2008,7.8,55.0,192874,9.03,94
343,Straight Outta Compton,2015,7.8,72.0,180971,161.2,147
344,The Thin Red Line,1998,7.6,78.0,174380,36.4,170
345,Chinatown,1974,8.1,92.0,297772,8.49,130
346,Lawrence of Arabia,1962,8.3,100.0,270798,44.82,228
347,Edward Scissorhands,1990,7.9,74.0,450742,56.36,105
348,In the Name of the Father,1993,8.1,84.0,158977,25.01,133
349,Minority Report,2002,7.6,80.0,512178,132.07,145
350,Groundhog Day,1993,8.0,72.0,583777,70.91,101
351,Fantastic Mr. Fox,2009,7.9,83.0,203373,21.0,87
352,Monty Python and the Holy Grail,1975,8.2,91.0,504667,1.23,91
353,"O Brother, Where Art Thou?",2000,7.7,69.0,290353,45.51,107
354,Midnight in Paris,2011,7.7,81.0,391710,56.82,94
355,The Bourne Supremacy,2004,7.7,73.0,437660,176.24,108
356,The Last Picture Show,1971,8.0,93.0,43079,29.13,118
357,Million Dollar Baby,2004,8.1,86.0,641769,100.49,132
358,Wild Tales,2014,8.1,77.0,180020,3.11,122
359,Mr. Nobody,2009,7.8,63.0,218489,0.0,141
360,The Royal Tenenbaums,2001,7.6,76.0,269515,52.36,110
361,The Others,2001,7.6,74.0,340552,96.52,104
362,The Bourne Ultimatum,2007,8.0,85.0,607393,227.47,115
