,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
935,Nights of Cabiria,1957,8.1,,43413,0.75,110
936,My Sassy Girl,2001,8.0,,45654,,137
937,The Lost Weekend,1945,7.9,,33884,9.46,101
938,Bhaag Milkha Bhaag,2013,8.2,,61592,1.63,186
939,The Magdalene Sisters,2002,7.7,83.0,26086,4.89,114
940,Uri: The Surgical Strike,2018,8.2,,44115,4.19,138
941,In a Better World,2010,7.6,65.0,38676,1.01,118
942,Battleship Potemkin,1925,8.0,97.0,53655,0.05,66
943,Duck Soup,1933,7.8,93.0,55873,,69
944,Hiroshima Mon Amour,1959,7.9,,28862,0.09,90
945,The Exterminating Angel,1962,8.1,,30079,,95
946,Sanjuro,1962,8.1,,33604,,96
947,Nine Queens,2000,7.9,80.0,50139,1.22,114
948,Miracle on 34th Street,1947,7.9,88.0,41860,2.65,96
949,Dilwale Dulhania Le Jayenge,1995,8.1,,64007,,181
950,The Killer,1989,7.8,82.0,45905,,111
951,The Triplets of Belleville,2003,7.8,91.0,50895,7.0,80
952,Kahaani,2012,8.1,,58225,1.04,122
953,Anand,1971,8.3,,30999,,122
954,La Grande Illusion,1937,8.1,,34123,0.17,113
955,Haider,2014,8.1,,50766,0.9,160
956,M.S. Dhoni: The Untold Story,2016,7.8,,41085,1.78,184
957,The Virgin Spring,1960,8.1,,26995,1.53,89
958,G.O.R.A.,2004,8.0,,57722,,127
959,Dil Chahta Hai,2001,8.1,,67265,0.3,183
960,Munna Bhai M.B.B.S.,2003,8.1,,74575,,156
961,Elite Squad 2: The Enemy Within,2010,8.0,71.0,79684,0.1,115
962,Udaan,2010,8.2,,42599,0.01,134
963,Sholay,1975,8.2,,51673,,162
964,White Heat,1949,8.1,,30087,,114
965,Barfi!,2012,8.1,,76322,2.8,151
966,Joyeux Noel,2005,7.7,70.0,28145,1.05,116
967,Knockin' on Heaven's Door,1997,8.0,,28005,0.0,87
968,Central Station,1998,8.0,80.0,36819,5.6,110
969,Baby,2015,8.0,,53134,,159
970,Special 26,2013,8.0,,51435,1.08,144
971,The Shop Around the Corner,1940,8.1,96.0,28807,0.2,99
972,Zelig,1983,7.7,,40191,11.8,79
973,Sherlock Jr.,1924,8.2,,42944,0.98,45
974,C.R.A.Z.Y.,2005,7.9,81.0,31587,,129
975,The Muppet Christmas Carol,1992,7.7,64.0,50606,27.28,85
976,Jab We Met,2007,7.9,,48128,0.41,138
977,Le Dîner de Cons,1998,7.7,73.0,37738,4.07,80
978,Veer-Zaara,2004,7.8,67.0,49462,2.92,192
979,Tae Guk Gi: The Brotherhood of War,2004,8.1,64.0,38001,1.11,140
980,Andaz Apna Apna,1994,8.2,,49610,,160
981,The Edge of Heaven,2007,7.8,85.0,30974,0.74,122
982,Raazi,2018,7.8,,25749,,138
983,The Rules of the Game,1939,8.0,,26969,,110
984,Udta Punjab,2016,7.8,,27423,,148
985,A Night at the Opera,1935,7.9,,30784,2.54,96
986,A Wednesday,2008,8.1,,74255,,104
987,Chak De! India,2007,8.2,68.0,74716,1.11,153
988,Vicky Donor,2012,7.8,,39970,0.17,126
989,Paan Singh Tomar,2012,8.2,,33492,0.04,135
990,English Vinglish,2012,7.8,,33899,1.67,134
991,Kai Po Che,2013,7.7,40.0,33012,1.12,120
992,The Circus,1928,8.1,90.0,30667,,72
993,Airlift,2016,8.0,,53131,,130
994,Dev.D,2009,8.0,,28931,0.01,144
995,OMG: Oh My God!,2012,8.1,,52228,0.92,125
996,Lage Raho Munna Bhai,2006,8.1,,43444,2.22,144
997,Vizontele,2001,8.0,,33989,,110
998,The Breath,2009,8.0,,32067,,128
999,Black,2005,8.2,,33528,0.73,122
